OG,lnL_Null2,lnL_Null05,lnL_ML2,lnL_ML05,lnL_Fix,W_Null2,W_Null05,W0_ML2,W1_ML2,W0_ML05,W1_ML05
N1.HOG0014635,-9390.883432,-9390.883432,-9390.855619,-9390.855619,-9528.633449,0.23005,0.23005,0.22744,0.23356,0.22744,0.23355
N1.HOG0014636,-34124.929745,-34124.929745,-34124.286592,-34124.286592,-34258.687341,0.32927,0.32927,0.33302,0.30652,0.33302,0.30652
N1.HOG0014637,-15153.916616,-13987.539565,-13085.088187,-13722.549157,-13760.502382,1.44255,0.5,0.08853,0.00697,0.48789,0.00401
N1.HOG0014661,-38078.509362,-31455.221553,-32346.511383,-33669.96423,-35865.61562,1.82422,0.0567,0.06687,0.05367,0.06587,0.03169
N1.HOG0014662,-86715.889965,-86715.889965,-86708.535584,-86708.535584,-87406.377905,0.3245,0.3245,0.3354,0.29092,0.3354,0.29092
N1.HOG0014668,-55695.797431,-55695.797431,-55664.775939,-55664.775939,-56445.408027,0.21571,0.21571,0.23251,0.15379,0.23252,0.1538
N1.HOG0014670,-9826.091619,-9826.091619,-9825.989556,-9825.989556,-9939.944533,0.23452,0.23452,0.23773,0.22598,0.23773,0.22598
N1.HOG0014673,-31254.880279,-31254.880288,-31253.184746,-31253.184841,-31807.676655,0.17459,0.17461,0.17923,0.15944,0.17923,0.15945
N1.HOG0014675,-38490.663722,-38044.644568,-37877.398485,-37879.534449,-38743.756093,0.25961,0.18147,0.26227,0.1349,0.25967,0.13588
N1.HOG0014676,-45828.387767,-45828.387767,-45817.193017,-45817.193017,-46413.108402,0.16764,0.16764,0.17503,0.13018,0.17503,0.13018
N1.HOG0014680,-67561.208165,-67561.208164,-67544.147602,-67544.147606,-68262.807691,0.23441,0.23439,0.2483,0.18867,0.24832,0.18867
N1.HOG0014682,-33951.97545,-33951.970713,-33944.599108,-33944.578294,-34955.882407,0.06131,0.06134,0.06508,0.04558,0.06515,0.04569
N1.HOG0014685,-33482.627283,-30867.044993,-32800.535525,-31013.19121,-32171.078396,0.32116,0.04786,0.05786,2.85855,0.06612,0.02465
N1.HOG0014688,-110088.202195,-110088.202195,-110053.142961,-110053.142962,-111216.465242,0.3265,0.32649,0.36171,0.27589,0.36171,0.27589
N1.HOG0014689,-19533.568618,-19533.568618,-19528.671946,-19528.671946,-19644.169797,0.33686,0.33686,0.3526,0.26482,0.3526,0.26482
N1.HOG0014690,-15627.413791,-15627.413794,-15625.108416,-15625.108416,-15857.670753,0.17684,0.17682,0.18312,0.14928,0.18312,0.14928
N1.HOG0014697,-26240.59012,-26334.135305,-26357.089233,-26258.93988,-26952.942329,0.24002,0.23006,0.37439,0.26211,0.26907,0.19362
N1.HOG0014698,-19229.136675,-19539.871811,-19591.630514,-19876.200608,-19535.963594,0.2526,0.5,0.33042,0.2159,0.86197,0.2133
N1.HOG0014699,-26768.660108,-26768.660108,-26768.30799,-26768.30799,-26985.547716,0.3193,0.3193,0.3146,0.33107,0.3146,0.33107
N1.HOG0014720,-63608.523122,-63771.784606,-63880.439081,-68279.54687,-65815.792248,0.12534,0.09811,0.16024,0.08419,0.5443,0.43789
N1.HOG0014723,-15311.603971,-15311.603971,-15303.242729,-15303.242729,-15467.970985,0.2797,0.2797,0.30179,0.20401,0.30178,0.204
N1.HOG0014724,-15159.369003,-15159.369003,-15147.098211,-15147.098211,-15370.212921,0.29169,0.29169,0.33095,0.2168,0.33095,0.2168
N1.HOG0014730,-15006.765786,-15006.765787,-14984.687958,-14984.687751,-15169.276933,0.21512,0.2151,0.24071,0.10084,0.24069,0.1008
N1.HOG0014731,-27566.094369,-27566.094369,-27566.092967,-27566.092966,-28001.197964,0.18143,0.18144,0.18127,0.18191,0.18127,0.18191
N1.HOG0014734,-57522.831611,-57522.831535,-57517.656488,-57517.656311,-58139.9003,0.27174,0.27171,0.28219,0.24385,0.28216,0.24384
N1.HOG0014739,-25785.552413,-25785.551333,-25773.452056,-25773.452344,-25999.495562,0.23524,0.23535,0.25094,0.15902,0.25089,0.15915
N1.HOG0014741,-44247.02274,-44247.022741,-44237.226613,-44237.226613,-44741.879019,0.17522,0.17521,0.18189,0.13487,0.18189,0.13486
N1.HOG0014742,-44167.752068,-44167.752069,-44166.276259,-44166.276259,-44588.507943,0.37851,0.37851,0.39512,0.36316,0.39511,0.36316
N1.HOG0014743,-23373.294693,-23373.294694,-23343.234698,-23343.234698,-23704.4372,0.11449,0.11448,0.12367,0.04223,0.12366,0.04225
N1.HOG0014746,-32075.36464,-32075.36464,-32000.812801,-32000.812801,-32462.686922,0.22346,0.22346,0.2506,0.08793,0.2506,0.08793
N1.HOG0014751,-15593.579325,-15593.579325,-15593.221798,-15593.221798,-16003.337535,0.1846,0.1846,0.17802,0.19086,0.17802,0.19086
N1.HOG0014753,-27767.3435,-27767.3435,-27763.456265,-27763.456264,-28165.11064,0.16342,0.16342,0.16956,0.13608,0.16957,0.13608
N1.HOG0014756,-23502.816475,-23502.816475,-23494.577384,-23494.577384,-24010.20972,0.13942,0.13942,0.1494,0.10735,0.1494,0.10734
N1.HOG0014757,-9551.48216,-9633.03727,-9719.556534,-9532.052488,-9975.631417,0.2452,0.5,0.21695,2.1207,0.30131,0.52151
N1.HOG0014759,-9300.222545,-9300.222545,-9297.893601,-9297.893601,-9424.11777,0.29753,0.29753,0.32117,0.25744,0.32117,0.25744
N1.HOG0014760,-5739.508228,-5739.508228,-5739.506037,-5739.506037,-5835.484385,0.28346,0.28347,0.28241,0.28469,0.28241,0.28469
N1.HOG0014771,-20543.60524,-20543.60524,-20542.525548,-20542.525549,-20644.017693,0.44452,0.44451,0.41995,0.46964,0.41995,0.46966
N1.HOG0014773,-15937.410558,-15937.410536,-15929.942505,-15929.942549,-16034.587351,0.44474,0.44473,0.49159,0.35493,0.49156,0.35487
N1.HOG0014774,-52771.208914,-52771.208915,-52752.347954,-52752.347955,-53089.46615,0.27195,0.27195,0.28538,0.19262,0.28538,0.19262
N1.HOG0014775,-10024.415387,-10024.415387,-10023.994012,-10023.994012,-10230.609704,0.15152,0.15152,0.14649,0.16047,0.14649,0.16048
N1.HOG0014776,-11467.140928,-11467.045846,-11462.811449,-11462.8269,-13149.630265,0.07436,0.07544,0.08027,0.05265,0.08091,0.0532
N1.HOG0014778,-39640.67671,-39640.676709,-39583.883171,-39583.883174,-40431.287161,0.09491,0.09491,0.10552,0.03568,0.10552,0.03567
N1.HOG0014785,-51907.443744,-51907.441831,-51852.332767,-51852.332014,-52906.745499,0.12211,0.12211,0.13464,0.06386,0.13468,0.06384
N1.HOG0014789,-36971.341648,-36971.341648,-36970.422091,-36970.422091,-37407.754664,0.28024,0.28024,0.28706,0.26766,0.28706,0.26766
N1.HOG0014793,-14718.583318,-12481.99537,-12364.553499,-12459.805873,-12799.275406,2,0.07845,0.07555,0.03441,0.05673,0.03616
N1.HOG0014798,-65977.887671,-65977.887671,-65965.923673,-65965.923673,-66369.451151,0.31884,0.31885,0.33649,0.26251,0.33648,0.26251
N1.HOG0014801,-9575.229619,-9575.229619,-9575.171306,-9575.171306,-9668.224051,0.27458,0.27459,0.27066,0.28114,0.27066,0.28114
N1.HOG0014802,-88311.85107,-88311.85107,-88240.643298,-88240.643296,-89293.96164,0.30934,0.30934,0.3494,0.22584,0.3494,0.22585
N1.HOG0014803,-25325.00606,-25325.006066,-25297.9014,-25297.9014,-25974.38453,0.10657,0.10656,0.11895,0.06201,0.11895,0.06201
N1.HOG0014805,-43566.088846,-43566.088846,-43504.394101,-43504.394102,-43830.316729,0.22773,0.22773,0.24077,0.07074,0.24076,0.07075
N1.HOG0014806,-31422.130447,-31422.130447,-31401.175367,-31401.175367,-31909.529098,0.2629,0.2629,0.29267,0.20172,0.29267,0.20172
N1.HOG0014807,-46669.060679,-46669.060679,-46668.448309,-46668.448309,-47077.03488,0.31674,0.31674,0.3236,0.30614,0.3236,0.30614
N1.HOG0014808,-65964.531005,-65964.531004,-65940.141246,-65940.14125,-66456.385613,0.25217,0.25216,0.26562,0.18249,0.26561,0.18251
N1.HOG0014811,-28299.743812,-28299.743812,-28175.704396,-28175.704395,-28890.215107,0.21669,0.21669,0.27058,0.08417,0.27059,0.08416
N1.HOG0014823,-38008.445974,-39834.34963,-38101.948023,-40619.433192,-38989.385239,0.13396,0.5,0.14746,0.10221,0.57331,0.87956
N1.HOG0014826,-37566.199936,-37566.199936,-37558.69614,-37558.69614,-38295.987329,0.20373,0.20372,0.21596,0.17524,0.21596,0.17524
N1.HOG0014833,-16665.251175,-16665.251175,-16663.441877,-16663.441877,-16874.774745,0.23281,0.2328,0.22012,0.25689,0.22012,0.25689
N1.HOG0014834,-18433.274538,-18433.274535,-18384.449783,-18384.449779,-18893.07021,0.16355,0.16355,0.19665,0.07686,0.19667,0.07686
N1.HOG0014835,-22680.120016,-22680.120993,-22621.877178,-22621.877081,-22993.08906,0.22796,0.22787,0.26264,0.09044,0.26246,0.09046
N1.HOG0014836,-46926.130795,-47026.480078,-47122.621299,-49005.944822,-48244.640388,0.22615,0.22909,0.16734,0.17889,0.55126,0.52563
N1.HOG0014837,-38753.544071,-38753.544082,-38695.054769,-38695.054749,-39511.836206,0.17874,0.17876,0.20105,0.10008,0.20104,0.10006
N1.HOG0014844,-41729.066121,-41729.066122,-41718.948196,-41718.948311,-41922.164981,0.39613,0.39613,0.41436,0.31571,0.41431,0.31601
N1.HOG0014845,-22615.760057,-22615.760056,-22609.683269,-22609.683268,-23151.992364,0.07608,0.07608,0.08053,0.05461,0.08053,0.05461
N1.HOG0014849,-21498.891592,-20829.375903,-20847.345554,-21478.48406,-21391.712687,0.06333,0.04411,0.05375,0.0078,0.03359,1e-04
N1.HOG0014862,-23351.722979,-23221.721136,-23585.532418,-23432.595081,-23452.547463,0.05913,0.05893,0.05874,1.91335,0.05384,0.48576
N1.HOG0014863,-12786.257434,-12788.331872,-12786.05981,-12787.489349,-13132.257174,0.08823,0.08295,0.09051,0.09343,0.0881,0.0884
N1.HOG0014866,-18867.931469,-18867.931469,-18867.724392,-18867.724393,-19020.931912,0.30422,0.30423,0.29981,0.31459,0.29982,0.31459
N1.HOG0014868,-70795.248988,-70795.248989,-70780.431964,-70780.431963,-71489.8489,0.22066,0.22065,0.23146,0.17901,0.23146,0.17901
N1.HOG0014869,-81099.659476,-81099.659477,-81074.939957,-81074.939957,-82137.312522,0.26932,0.26932,0.29774,0.22673,0.29774,0.22673
N1.HOG0014872,-12825.615005,-13339.083407,-14980.586057,-13145.971032,-13255.676764,0.16618,0.42787,2.36206,2.32814,0.38129,0.44314
N1.HOG0014873,-18957.969794,-18957.969794,-18955.524088,-18955.524088,-19141.653226,0.28472,0.28472,0.29649,0.24958,0.29649,0.24958
N1.HOG0014874,-15543.119093,-15543.119093,-15541.643507,-15541.643507,-15797.374041,0.14866,0.14866,0.15314,0.12901,0.15314,0.12901
N1.HOG0014877,-39692.507423,-39692.507423,-39675.493174,-39675.493174,-40264.710029,0.27439,0.27439,0.30933,0.22457,0.30934,0.22457
N1.HOG0014879,-46002.333985,-46002.333982,-46000.646158,-46000.646173,-46732.127128,0.11181,0.11181,0.1139,0.10067,0.11389,0.10068
N1.HOG0014880,-64351.142781,-64351.142781,-64308.447357,-64308.447358,-66270.000702,0.2441,0.2441,0.30151,0.20979,0.30151,0.20979
N1.HOG0014881,-32385.932401,-32385.932404,-32378.537017,-32378.536756,-32833.339563,0.18085,0.18085,0.18916,0.14466,0.1891,0.14461
N1.HOG0014884,-10368.096302,-10368.096302,-10367.897138,-10367.897138,-10865.614371,0.08865,0.08865,0.09265,0.08526,0.09265,0.08526
N1.HOG0014886,-21783.903384,-21783.903388,-21743.981111,-21743.981111,-22346.833369,0.13214,0.13214,0.15033,0.06509,0.15033,0.06509
N1.HOG0014896,-66706.868166,-66706.865901,-66684.593557,-66684.493866,-69088.190177,0.09787,0.09791,0.11275,0.07847,0.11271,0.07938
N1.HOG0014904,-7849.487794,-7887.700544,-7835.879774,-8380.7641,-8074.535232,0.10468,0.10489,0.08982,0.00797,0.46615,0.56404
N1.HOG0014906,-4318.821596,-4318.554345,-4539.465378,-4483.937999,-4464.740559,0.06632,0.0703,0.08104,1.9018,0.05698,0.43195
N1.HOG0014914,-64815.844216,-64815.12588,-65729.29723,-65708.313757,-65573.815669,0.22912,0.23051,0.23713,0.9757,0.20546,0.96012
N1.HOG0014917,-35896.269617,-35835.060066,-35940.017259,-35811.51956,-37364.904871,0.13438,0.12548,0.2044,0.04019,0.1617,0.06011
N1.HOG0014925,-12142.738268,-13145.782224,-12484.659132,-12137.945128,-12383.417245,0.05305,0.50243,0.04649,1.6858,0.03459,0.04788
N1.HOG0014928,-11249.353566,-11299.926116,-11627.762057,-11235.324551,-11489.259228,0.08457,0.10585,0.09112,2.04707,0.10635,0.05771
N1.HOG0014941,-12747.45866,-10913.820959,-11521.534188,-12047.92653,-11345.019925,2.00044,0.02471,0.05989,2.37935,0.45464,0.59012
N1.HOG0014956,-8403.492975,-8390.438887,-8398.325911,-8869.863412,-8744.717259,0.07689,0.04522,0.04776,0.03825,0.04347,0.50108
N1.HOG0014958,-65063.250001,-65063.250001,-65063.05104,-65063.05104,-65272.505529,0.30198,0.30198,0.30413,0.29213,0.30413,0.29213
N1.HOG0014961,-23782.496126,-23782.496126,-23778.113468,-23778.113468,-24162.150854,0.25178,0.25178,0.27169,0.2221,0.27169,0.2221
N1.HOG0014964,-23816.313793,-23816.313793,-23806.848291,-23806.848291,-23930.368703,0.31407,0.31407,0.3361,0.21625,0.3361,0.21625
N1.HOG0014966,-6486.899036,-6603.130962,-6851.403337,-6465.760452,-7157.617798,0.07555,0.05138,0.11882,1.66813,0.11956,0.08423
N1.HOG0014983,-73756.159069,-73906.748788,-73731.519738,-73969.33506,-79595.488587,0.10966,0.10508,0.11858,0.09091,0.11038,0.08452
N1.HOG0014988,-63827.614194,-63827.614223,-63799.185955,-63799.185952,-66118.269943,0.11368,0.11367,0.12634,0.08898,0.12635,0.08899
N1.HOG0014992,-120767.283113,-120767.283114,-120512.148269,-120512.14827,-123186.745979,0.14812,0.14812,0.16762,0.06269,0.16762,0.06269
N1.HOG0014993,-5916.097184,-5916.097184,-5915.783967,-5915.783967,-6044.686586,0.24757,0.24757,0.26298,0.23659,0.26298,0.23659
N1.HOG0014994,-49638.307913,-49638.307914,-49600.554315,-49600.554316,-50766.55558,0.24319,0.24319,0.28142,0.1949,0.28142,0.19489
N1.HOG0014995,-51740.992413,-50025.125464,-52716.320418,-50312.876744,-51136.823632,0.11478,0.09482,0.11976,0.03011,0.09443,0.0311
N1.HOG0015015,-4989.512969,-5398.127583,-5006.546202,-5116.14,-5147.373877,0.05505,0.50003,0.08598,0.03048,0.12281,0.03589
N1.HOG0015016,-6445.639783,-6445.639787,-6431.583982,-6431.584578,-6603.434258,0.11787,0.11788,0.13621,0.04715,0.13631,0.04712
N1.HOG0015017,-19700.547738,-16899.633167,-17754.683623,-16906.434111,-17606.480717,2,0.06589,0.14367,1.10415,0.13511,0.04007
N1.HOG0015018,-27531.780272,-27126.229424,-27696.856442,-27356.475203,-27463.807923,0.23211,0.13434,0.26249,0.20964,0.15734,0.06835
N1.HOG0015021,-51388.683523,-51388.683521,-51371.615587,-51371.615564,-51957.290956,0.33234,0.33233,0.36869,0.28377,0.36868,0.2837
N1.HOG0015023,-56060.9023,-56060.9023,-56017.028151,-56017.028151,-56707.732239,0.26553,0.26552,0.29223,0.18512,0.29223,0.18512
N1.HOG0015024,-54016.30801,-54016.30801,-53992.018015,-53992.018015,-54648.628266,0.23676,0.23676,0.25527,0.17805,0.25527,0.17805
N1.HOG0015029,-130589.88893,-130589.88893,-130537.477526,-130537.477525,-132562.060891,0.1884,0.1884,0.2005,0.14224,0.20049,0.14224
N1.HOG0015031,-39904.597185,-39904.597186,-39867.649291,-39867.649291,-40513.671615,0.20762,0.20762,0.22845,0.1336,0.22845,0.1336
N1.HOG0015033,-46891.07971,-46891.079516,-46888.10764,-46888.107643,-47383.050548,0.22535,0.2254,0.23152,0.20244,0.23152,0.20243
N1.HOG0015047,-11428.38992,-11428.38992,-11426.649198,-11426.649197,-11815.950272,0.13233,0.13234,0.14271,0.11815,0.14271,0.11815
N1.HOG0015048,-17831.228029,-17831.228397,-17792.552401,-17792.553047,-18435.622928,0.07321,0.07316,0.08594,0.02516,0.08592,0.02515
N1.HOG0015051,-12383.999042,-12383.999197,-12381.643295,-12381.643501,-12725.781596,0.12233,0.12231,0.13139,0.10387,0.13136,0.1038
N1.HOG0015060,-20437.0234,-20437.0234,-20432.312899,-20432.312899,-20713.501074,0.25749,0.25749,0.27829,0.2201,0.27829,0.2201
N1.HOG0015062,-24644.109905,-21512.379853,-22127.677126,-21416.577449,-22527.595248,2,0.14691,0.21684,0.10418,0.15786,0.11482
N1.HOG0015063,-13912.397069,-13922.507427,-13981.813152,-13901.847711,-14107.234512,0.19489,0.20672,0.26866,0.14487,0.20732,0.12957
N1.HOG0015064,-21422.53045,-21422.53045,-21416.438088,-21416.438088,-21695.456722,0.26668,0.26668,0.28413,0.22073,0.28413,0.22073
N1.HOG0015065,-10987.19292,-10987.19292,-10982.279386,-10982.279386,-11125.066925,0.19656,0.19656,0.21005,0.14021,0.21005,0.14021
N1.HOG0015067,-26228.03118,-26228.03118,-26201.65015,-26201.65015,-26494.553731,0.33487,0.33487,0.37542,0.22724,0.37542,0.22724
N1.HOG0015068,-28971.694609,-28971.694609,-28963.818715,-28963.818715,-29140.679171,0.32819,0.32819,0.34284,0.25274,0.34285,0.25275
N1.HOG0015082,-31951.786763,-31951.786764,-31943.059412,-31943.059413,-32519.12021,0.17394,0.17394,0.18401,0.14054,0.18401,0.14054
N1.HOG0015083,-25272.912768,-25272.912768,-25262.299126,-25262.299127,-25662.503471,0.19326,0.19325,0.20747,0.14604,0.20747,0.14605
N1.HOG0015085,-24701.189977,-24701.189978,-24669.528614,-24669.528657,-25350.920896,0.10919,0.10919,0.1233,0.05832,0.12329,0.05831
N1.HOG0015090,-40782.992917,-40782.992917,-40767.549203,-40767.549203,-41055.061765,0.22285,0.22285,0.23822,0.14984,0.23822,0.14984
N1.HOG0015093,-9057.831657,-9049.159162,-9287.866857,-9054.184705,-9567.963577,0.10168,0.10735,0.15221,0.08711,0.11241,0.07982
N1.HOG0015094,-13510.678415,-13510.678415,-13510.283285,-13510.283285,-13598.998588,0.32124,0.32124,0.31226,0.3389,0.31226,0.3389
N1.HOG0015100,-22048.12077,-22257.983332,-22216.53285,-23075.477217,-23113.757264,0.09782,0.04034,0.07251,0.29318,0.05292,1.17931
N1.HOG0015104,-15263.679252,-15263.679252,-15263.604062,-15263.604062,-15432.310013,0.21789,0.21789,0.21961,0.21184,0.21961,0.21184
N1.HOG0015110,-18319.290148,-18319.290148,-18317.875655,-18317.875655,-18514.117767,0.27721,0.27721,0.26424,0.29921,0.26424,0.29921
N1.HOG0015115,-14453.91231,-14453.91231,-14451.591426,-14451.591426,-14724.171811,0.25973,0.25973,0.2824,0.2355,0.28239,0.23548
N1.HOG0015117,-14195.945638,-14195.945638,-14171.420676,-14171.420676,-14549.514845,0.24731,0.24731,0.31471,0.1768,0.31471,0.1768
N1.HOG0015121,-21108.407444,-21108.407444,-21104.555,-21104.555,-21410.806422,0.2396,0.2396,0.25353,0.20719,0.25353,0.20719
N1.HOG0015122,-19493.771993,-19493.771991,-19493.352311,-19493.352311,-19774.010569,0.21378,0.21378,0.21733,0.20283,0.21733,0.20284
N1.HOG0015124,-13506.218282,-13506.218282,-13498.924527,-13498.924527,-13787.05816,0.15476,0.15477,0.16799,0.1103,0.16799,0.1103
N1.HOG0015126,-55488.746652,-55488.746652,-55457.026989,-55457.026989,-56487.375039,0.22201,0.22202,0.24252,0.16914,0.24252,0.16913
N1.HOG0015127,-11348.275029,-11348.275029,-11348.163733,-11348.163733,-11585.590112,0.1969,0.19691,0.1932,0.20225,0.1932,0.20224
N1.HOG0015134,-100845.291156,-100108.57738,-100041.872624,-100900.955998,-103932.519694,0.04988,0.05584,0.07342,0.0195,0.0784,0.00609
N1.HOG0015136,-17141.857155,-17117.189779,-17109.172188,-17110.711453,-17642.336441,0.09338,0.0895,0.0996,0.05781,0.09511,0.06267
N1.HOG0015140,-25547.816135,-21689.983352,-21862.32584,-21801.213966,-23179.80777,1.95965,0.09225,0.10324,0.07993,0.10928,0.04962
N1.HOG0015142,-10138.057073,-10138.057073,-10134.390222,-10134.390222,-10352.125663,0.19396,0.19397,0.21257,0.15973,0.21257,0.15973
N1.HOG0015143,-9198.852758,-9198.852758,-9194.927614,-9194.927614,-9354.710263,0.24162,0.24162,0.26467,0.19486,0.26467,0.19486
N1.HOG0015144,-13298.538859,-13298.538859,-13297.487847,-13297.487847,-13516.374287,0.18343,0.18342,0.1905,0.16456,0.1905,0.16456
N1.HOG0015147,-25720.71124,-22428.651188,-24374.649258,-24257.525272,-22933.343063,2.00002,0.15096,1.19037,0.06582,0.58668,0.48329
N1.HOG0015149,-12512.594486,-12231.66144,-12240.400778,-12442.128379,-12709.655688,0.09006,0.05905,0.06122,0.10898,0.0404,0.42379
N1.HOG0015157,-15496.912644,-15496.912644,-15480.644435,-15480.644434,-15708.720677,0.20521,0.2052,0.22587,0.12424,0.22588,0.12424
N1.HOG0015161,-23764.653324,-23764.653323,-23678.591331,-23678.590133,-24456.127515,0.15584,0.15585,0.19596,0.06382,0.19587,0.06382
N1.HOG0015162,-9024.725049,-9024.725059,-8981.554349,-8981.553443,-9416.790724,0.10529,0.10528,0.13111,0.01579,0.1306,0.01579
N1.HOG0015163,-14531.905247,-14531.905247,-14523.939192,-14523.939192,-14704.44541,0.16859,0.16859,0.17862,0.10869,0.17862,0.10869
N1.HOG0015164,-14105.875614,-14105.875633,-14100.624194,-14100.624282,-14406.71626,0.14877,0.1488,0.15916,0.11476,0.15915,0.11479
N1.HOG0015166,-20174.818557,-20174.818565,-20174.818367,-20174.818105,-20346.96476,0.20423,0.2042,0.20447,0.20357,0.2043,0.20376
N1.HOG0015167,-36883.851636,-36883.851635,-36817.663366,-36817.663292,-37931.607274,0.11436,0.11436,0.13448,0.05649,0.13447,0.05653
N1.HOG0015168,-28554.638502,-28554.638502,-28554.397809,-28554.397809,-29163.493708,0.16745,0.16745,0.16973,0.16245,0.16973,0.16246
N1.HOG0015183,-54879.20503,-54879.20503,-54858.37584,-54858.37584,-55276.9682,0.38616,0.38615,0.41967,0.31187,0.41967,0.31187
N1.HOG0015184,-32221.705332,-32221.705331,-32199.253137,-32199.253137,-32518.065888,0.32143,0.32142,0.35258,0.23085,0.35259,0.23085
N1.HOG0015191,-7638.052787,-7638.052787,-7634.927044,-7634.927044,-7701.954327,0.24151,0.24151,0.25416,0.17061,0.25416,0.1706
N1.HOG0015193,-12754.499793,-12754.499792,-12754.388052,-12754.388052,-13187.380614,0.14895,0.14895,0.15138,0.14547,0.15138,0.14547
N1.HOG0015205,-63768.489227,-63768.489227,-63746.262409,-63746.262409,-64371.546856,0.29702,0.29702,0.31487,0.23291,0.31487,0.2329
N1.HOG0015209,-29937.570117,-29937.570117,-29925.704774,-29925.704774,-30490.493876,0.15784,0.15784,0.1686,0.11782,0.1686,0.11781
N1.HOG0015213,-31443.809035,-31443.808501,-31423.839341,-31423.838324,-32347.693612,0.09356,0.09358,0.10258,0.06153,0.10266,0.06169
N1.HOG0015214,-28120.548523,-28120.495999,-28114.539019,-28114.487458,-28549.244597,0.08501,0.08528,0.08898,0.0596,0.08872,0.0595
N1.HOG0015217,-23361.500507,-23361.501836,-23347.381259,-23347.382364,-23986.289203,0.0525,0.0525,0.05811,0.02705,0.05805,0.02703
N1.HOG0015218,-9665.572471,-9665.572471,-9665.527349,-9665.527349,-9914.22797,0.15165,0.15165,0.15396,0.14848,0.15396,0.14849
N1.HOG0015219,-37001.781451,-36501.704343,-37631.927091,-36512.240782,-37184.041681,0.21663,0.14982,0.22972,0.13617,0.22211,0.08605
N1.HOG0015220,-23565.855854,-23565.855854,-23565.678142,-23565.678142,-23728.183329,0.2782,0.2782,0.28104,0.26822,0.28104,0.26821
N1.HOG0015222,-39780.220479,-39780.220479,-39779.507421,-39779.507421,-40062.939988,0.26007,0.26007,0.26323,0.24446,0.26323,0.24446
N1.HOG0015225,-44893.721645,-44893.721644,-44885.951114,-44885.951114,-45771.511798,0.22591,0.22591,0.24012,0.20024,0.24012,0.20024
N1.HOG0015226,-7197.648904,-7197.648905,-7195.246457,-7195.246457,-7375.028643,0.10571,0.10571,0.11365,0.07841,0.11364,0.07841
N1.HOG0015241,-11467.701132,-11406.394843,-11481.100414,-12284.794088,-11938.656839,0.07102,0.0492,0.05284,0.00541,0.60725,0.10675
N1.HOG0015246,-20991.434864,-20991.434864,-20988.489319,-20988.489319,-21137.428148,0.31556,0.31556,0.32988,0.26934,0.32988,0.26934
N1.HOG0015249,-27521.474192,-27521.473279,-27494.483741,-27494.483678,-27974.102466,0.16525,0.16528,0.18258,0.09465,0.18258,0.09469
N1.HOG0015251,-13078.057778,-13078.057779,-13074.615927,-13074.615927,-13534.915995,0.07406,0.07407,0.07986,0.05744,0.07986,0.05743
N1.HOG0015253,-21579.151446,-21579.151446,-21574.118906,-21574.118905,-22028.7242,0.17384,0.17384,0.18715,0.14639,0.18715,0.14638
N1.HOG0015254,-9010.743637,-9010.743637,-9003.723326,-9003.723326,-9196.336868,0.23049,0.23049,0.26201,0.17567,0.26201,0.17567
N1.HOG0015256,-35663.456626,-35663.456626,-35648.700111,-35648.700111,-35953.866851,0.29143,0.29143,0.31123,0.21722,0.31124,0.21722
N1.HOG0015258,-67017.457956,-67017.457956,-66991.78885,-66991.78885,-67412.812528,0.35602,0.35602,0.38867,0.27152,0.38867,0.27152
N1.HOG0015261,-21281.920584,-21281.920584,-21278.145194,-21278.145194,-21695.372816,0.17821,0.17821,0.18652,0.15248,0.18652,0.15248
N1.HOG0015263,-11398.227529,-11398.227529,-11398.069169,-11398.069169,-11631.753462,0.23011,0.23011,0.23621,0.22408,0.23621,0.22408
N1.HOG0015266,-9042.39989,-9099.298632,-9039.401274,-9316.091784,-9180.652165,0.2003,0.15202,0.19694,0.09126,0.18244,3.75191
N1.HOG0015267,-19882.804617,-19882.804617,-19876.7735,-19876.7735,-20078.110551,0.26538,0.26538,0.28326,0.20981,0.28325,0.20981
N1.HOG0015268,-22616.876341,-22616.876336,-22610.364139,-22610.364188,-23101.576435,0.12234,0.12234,0.12957,0.09438,0.12956,0.09439
N1.HOG0015269,-24885.265052,-24885.26513,-24879.503302,-24879.503353,-25126.395541,0.19838,0.19838,0.20612,0.15213,0.20621,0.15199
N1.HOG0015270,-16892.466356,-16892.466356,-16879.403661,-16879.403661,-17121.228378,0.26323,0.26323,0.29853,0.18958,0.29853,0.18958
N1.HOG0015283,-25396.078286,-25396.078286,-25364.800309,-25364.80031,-25866.862512,0.24419,0.24419,0.28298,0.16752,0.28298,0.16753
N1.HOG0015292,-13387.997749,-13387.997747,-13387.761926,-13387.761935,-13616.619491,0.29874,0.29874,0.28723,0.30591,0.28729,0.30596
N1.HOG0015297,-4705.271818,-4705.271818,-4701.484513,-4701.484513,-4843.109437,0.12553,0.12553,0.14249,0.0873,0.14249,0.0873
N1.HOG0015298,-7280.491798,-7280.491798,-7272.143767,-7272.143767,-7615.575425,0.05937,0.05937,0.06483,0.03448,0.06483,0.03448
N1.HOG0015300,-11599.679814,-11599.679821,-11597.285701,-11597.285686,-11848.906077,0.14695,0.14693,0.15467,0.12186,0.15466,0.12193
N1.HOG0015316,-15632.041678,-15632.041678,-15622.923857,-15622.923857,-15825.875005,0.3364,0.3364,0.3862,0.27312,0.3862,0.27312
