OG,Background,Foreground,WE,TAG
N1.HOG0024784,0.34999,0.34999,0.34999,0.34999
N1.HOG0024788,0.15598,0.15598,0.15598,0.15598
N1.HOG0024791,0.35152,0.35152,0.35152,0.35152
N1.HOG0024801,0.21588,0.21588,0.21588,0.21588
N1.HOG0024802,0.23878,0.23878,0.23878,0.23878
N1.HOG0024813,0.10852,0.10852,0.10852,0.10852
N1.HOG0024836,0.31517,0.31517,0.31517,0.31517
N1.HOG0024863,0.28682,0.28682,0.28682,0.28682
N1.HOG0024877,0.26269,0.26269,0.26269,0.26269
N1.HOG0024885,0.29128,0.29128,0.29128,0.29128
N1.HOG0024886,0.24906,0.24906,0.24906,0.24906
N1.HOG0024902,0.36549,0.36549,0.36549,0.36549
N1.HOG0024911,0.134,0.134,0.134,0.134
N1.HOG0024925,0.23656,0.23656,0.23656,0.23656
N1.HOG0024940,0.2261,0.2261,0.2261,0.2261
N1.HOG0024943,0.19274,0.19274,0.19274,0.19274
N1.HOG0024947,0.19558,0.19558,0.19558,0.19558
N1.HOG0024958,0.19364,0.19364,0.19364,0.19364
N1.HOG0024977,0.18177,0.18177,0.18177,0.18177
N1.HOG0024979,0.33906,0.33906,0.33906,0.33906
N1.HOG0024984,0.25605,0.25605,0.25605,0.25605
N1.HOG0024996,0.45127,0.45127,0.45127,0.45127
N1.HOG0024998,0.30989,0.30989,0.30989,0.30989
N1.HOG0025003,0.20528,0.20528,0.20528,0.20528
N1.HOG0025005,0.11369,0.11369,0.11369,0.11369
N1.HOG0025006,0.11847,0.11847,0.11847,0.11847
N1.HOG0025010,0.20939,0.20939,0.20939,0.20939
N1.HOG0025014,0.32074,0.32074,0.32074,0.32074
N1.HOG0025019,0.37293,0.37293,0.37293,0.37293
N1.HOG0025021,0.50308,0.50308,0.50308,0.50308
N1.HOG0025055,0.24925,0.24925,0.24925,0.24925
N1.HOG0025057,0.199,0.199,0.199,0.199
N1.HOG0025059,0.19785,0.19785,0.19785,0.19785
N1.HOG0025096,0.25066,0.25066,0.25066,0.25066
N1.HOG0025127,0.23769,0.23769,0.23769,0.23769
N1.HOG0025138,0.17565,0.17565,0.17565,0.17565
N1.HOG0025150,0.21163,0.21163,0.21163,0.21163
N1.HOG0025154,0.11488,0.11488,0.11488,0.11488
N1.HOG0025162,0.23476,0.23476,0.23476,0.23476
N1.HOG0025179,0.23406,0.23406,0.23406,0.23406
N1.HOG0025189,0.40153,0.40153,0.40153,0.40153
N1.HOG0025190,0.30345,0.30345,0.30345,0.30345
N1.HOG0025192,0.17193,0.17193,0.17193,0.17193
N1.HOG0025203,0.32069,0.32069,0.32069,0.32069
N1.HOG0025230,0.25523,0.25523,0.25523,0.25523
N1.HOG0025232,0.25149,0.25149,0.25149,0.25149
N1.HOG0025236,0.26962,0.26962,0.26962,0.26962
N1.HOG0025238,0.33185,0.33185,0.33185,0.33185
N1.HOG0025244,0.24554,0.24554,0.24554,0.24554
N1.HOG0025254,0.14058,0.14058,0.14058,0.14058
N1.HOG0025257,0.26346,0.26346,0.26346,0.26346
N1.HOG0025265,0.10327,0.10327,0.10327,0.10327
N1.HOG0025269,0.11542,0.11542,0.11542,0.11542
N1.HOG0025276,0.17656,0.17656,0.17656,0.17656
N1.HOG0025286,0.33659,0.33659,0.33659,0.33659
N1.HOG0025297,0.26942,0.26942,0.26942,0.26942
N1.HOG0025299,0.24577,0.24577,0.24577,0.24577
N1.HOG0025300,0.28458,0.28458,0.28458,0.28458
N1.HOG0025304,0.31352,0.31352,0.31352,0.31352
N1.HOG0025312,0.32058,0.32058,0.32058,0.32058
N1.HOG0025348,0.1856,0.1856,0.1856,0.1856
N1.HOG0025349,0.19946,0.19946,0.19946,0.19946
N1.HOG0025361,0.26366,0.26366,0.26366,0.26366
N1.HOG0025362,0.18141,0.18141,0.18141,0.18141
N1.HOG0025373,0.35776,0.35776,0.35776,0.35776
N1.HOG0025382,0.11415,0.11415,0.11415,0.11415
N1.HOG0025394,0.0486,0.0486,0.0486,0.0486
N1.HOG0025404,0.34341,0.34341,0.34341,0.34341
N1.HOG0025405,0.33843,0.33843,0.33843,0.33843
N1.HOG0025406,0.31234,0.31234,0.31234,0.31234
N1.HOG0025409,0.29904,0.29904,0.29904,0.29904
N1.HOG0025410,0.19083,0.19083,0.19083,0.19083
N1.HOG0025422,0.29329,0.29329,0.29329,0.29329
N1.HOG0025431,0.36893,0.36893,0.36893,0.36893
N1.HOG0025432,0.31139,0.31139,0.31139,0.31139
N1.HOG0025433,0.19273,0.19273,0.19273,0.19273
N1.HOG0025446,0.4865,0.4865,0.4865,0.4865
N1.HOG0025452,0.19842,0.19842,0.19842,0.19842
N1.HOG0025456,0.2528,0.2528,0.2528,0.2528
N1.HOG0025459,0.35115,0.35115,0.35115,0.35115
N1.HOG0025463,0.34535,0.34535,0.34535,0.34535
N1.HOG0025480,0.37946,0.37946,0.37946,0.37946
N1.HOG0025483,0.322,0.322,0.322,0.322
N1.HOG0025492,0.19423,0.19423,0.19423,0.19423
N1.HOG0025494,0.21496,0.21496,0.21496,0.21496
N1.HOG0025506,0.17945,0.17945,0.17945,0.17945
N1.HOG0025520,0.22644,0.22644,0.22644,0.22644
N1.HOG0025531,0.10764,0.10764,0.10764,0.10764
N1.HOG0025533,0.12192,0.12192,0.12192,0.12192
N1.HOG0025561,0.41341,0.41341,0.41341,0.41341
N1.HOG0025564,0.27273,0.27273,0.27273,0.27273
N1.HOG0025566,0.27182,0.27182,0.27182,0.27182
N1.HOG0025569,0.13819,0.13819,0.13819,0.13819
N1.HOG0025577,0.12769,0.12769,0.12769,0.12769
N1.HOG0025578,0.13913,0.13913,0.13913,0.13913
N1.HOG0025584,0.04725,0.04725,0.04725,0.04725
N1.HOG0025589,0.10878,0.10878,0.10878,0.10878
N1.HOG0025617,0.35167,0.35167,0.35167,0.35167
N1.HOG0025620,0.14944,0.14944,0.14944,0.14944
N1.HOG0025631,0.25047,0.25047,0.25047,0.25047
N1.HOG0025674,0.28387,0.28387,0.28387,0.28387
N1.HOG0025685,0.35436,0.35436,0.35436,0.35436
N1.HOG0025686,0.3518,0.3518,0.3518,0.3518
N1.HOG0025709,0.26342,0.26342,0.26342,0.26342
N1.HOG0025715,0.18931,0.18931,0.18931,0.18931
N1.HOG0025718,0.0709,0.0709,0.0709,0.0709
N1.HOG0025724,0.13671,0.13671,0.13671,0.13671
N1.HOG0025727,0.12998,0.12998,0.12998,0.12998
N1.HOG0025736,0.15228,0.15228,0.15228,0.15228
N1.HOG0025741,0.14591,0.14591,0.14591,0.14591
N1.HOG0025744,0.03295,0.03295,0.03295,0.03295
N1.HOG0025754,0.10083,0.10083,0.10083,0.10083
N1.HOG0025761,0.06913,0.06913,0.06913,0.06913
N1.HOG0025775,0.12353,0.12353,0.12353,0.12353
N1.HOG0025778,0.34861,0.34861,0.34861,0.34861
N1.HOG0025795,0.10884,0.10884,0.10884,0.10884
N1.HOG0025797,0.12895,0.12895,0.12895,0.12895
N1.HOG0025829,0.18548,0.18548,0.18548,0.18548
N1.HOG0025851,0.19884,0.19884,0.19884,0.19884
N1.HOG0025858,0.35519,0.35519,0.35519,0.35519
N1.HOG0025865,0.14814,0.14814,0.14814,0.14814
N1.HOG0025898,0.13846,0.13846,0.13846,0.13846
N1.HOG0025903,0.26791,0.26791,0.26791,0.26791
N1.HOG0025912,0.4792,0.4792,0.4792,0.4792
N1.HOG0025922,0.21149,0.21149,0.21149,0.21149
N1.HOG0025924,0.22588,0.22588,0.22588,0.22588
N1.HOG0025926,0.32528,0.32528,0.32528,0.32528
N1.HOG0025927,0.36119,0.36119,0.36119,0.36119
N1.HOG0025930,0.26984,0.26984,0.26984,0.26984
N1.HOG0025931,0.07496,0.07496,0.07496,0.07496
N1.HOG0025934,0.4324,0.4324,0.4324,0.4324
N1.HOG0025935,0.383,0.383,0.383,0.383
N1.HOG0025945,0.23183,0.23183,0.23183,0.23183
N1.HOG0025951,0.23684,0.23684,0.23684,0.23684
N1.HOG0025971,0.18262,0.18262,0.18262,0.18262
N1.HOG0025977,0.17065,0.17065,0.17065,0.17065
N1.HOG0025985,0.22702,0.22702,0.22702,0.22702
N1.HOG0025997,0.35818,0.35818,0.35818,0.35818
N1.HOG0025998,0.05983,0.05983,0.05983,0.05983
N1.HOG0026014,0.40871,0.40871,0.40871,0.40871
N1.HOG0026018,0.22955,0.22955,0.22955,0.22955
N1.HOG0026019,0.32103,0.32103,0.32103,0.32103
N1.HOG0026023,0.32875,0.32875,0.32875,0.32875
N1.HOG0026038,0.33515,0.33515,0.33515,0.33515
N1.HOG0026039,0.24731,0.24731,0.24731,0.24731
N1.HOG0026043,0.33463,0.33463,0.33463,0.33463
N1.HOG0026051,0.11488,0.11488,0.11488,0.11488
N1.HOG0026056,0.21994,0.21994,0.21994,0.21994
N1.HOG0026058,0.19415,0.19415,0.19415,0.19415
N1.HOG0026061,0.35906,0.35906,0.35906,0.35906
N1.HOG0026063,0.2546,0.2546,0.2546,0.2546
N1.HOG0026070,0.20715,0.20715,0.20715,0.20715
N1.HOG0026094,0.25532,0.25532,0.25532,0.25532
N1.HOG0026097,0.30914,0.30914,0.30914,0.30914
N1.HOG0026125,0.26502,0.26502,0.26502,0.26502
N1.HOG0026130,0.18269,0.18269,0.18269,0.18269
N1.HOG0026131,0.23543,0.23543,0.23543,0.23543
N1.HOG0026137,0.25118,0.25118,0.25118,0.25118
N1.HOG0026155,0.2388,0.2388,0.2388,0.2388
N1.HOG0026159,0.25516,0.25516,0.25516,0.25516
N1.HOG0026163,0.18713,0.18713,0.18713,0.18713
N1.HOG0026189,0.19281,0.19281,0.19281,0.19281
N1.HOG0026194,0.20315,0.20315,0.20315,0.20315
N1.HOG0026195,0.28968,0.28968,0.28968,0.28968
N1.HOG0026197,0.15278,0.15278,0.15278,0.15278
N1.HOG0026205,0.26912,0.26912,0.26912,0.26912
N1.HOG0026213,0.2754,0.2754,0.2754,0.2754
N1.HOG0026215,0.0583,0.0583,0.0583,0.0583
N1.HOG0026223,0.10524,0.10524,0.10524,0.10524
N1.HOG0026227,0.26113,0.26113,0.26113,0.26113
N1.HOG0026228,0.21464,0.21464,0.21464,0.21464
N1.HOG0026233,0.31306,0.31306,0.31306,0.31306
N1.HOG0026236,0.34751,0.34751,0.34751,0.34751
N1.HOG0026239,0.25972,0.25972,0.25972,0.25972
N1.HOG0026245,0.29609,0.29609,0.29609,0.29609
N1.HOG0026246,0.36272,0.36272,0.36272,0.36272
N1.HOG0026247,0.27105,0.27105,0.27105,0.27105
N1.HOG0026272,0.14041,0.14041,0.14041,0.14041
N1.HOG0026290,0.15435,0.15435,0.15435,0.15435
N1.HOG0026294,0.20923,0.20923,0.20923,0.20923
N1.HOG0026310,0.10207,0.10207,0.10207,0.10207
N1.HOG0026311,0.39151,0.39151,0.39151,0.39151
N1.HOG0026326,0.13069,0.13069,0.13069,0.13069
N1.HOG0026331,0.26831,0.26831,0.26831,0.26831
N1.HOG0026334,0.14072,0.14072,0.14072,0.14072
N1.HOG0026362,0.20688,0.20688,0.20688,0.20688
N1.HOG0026374,0.40938,0.40938,0.40938,0.40938
N1.HOG0026410,0.36868,0.36868,0.36868,0.36868
N1.HOG0026411,0.37377,0.37377,0.37377,0.37377
N1.HOG0026412,0.13283,0.13283,0.13283,0.13283
N1.HOG0026424,0.27719,0.27719,0.27719,0.27719
N1.HOG0026425,0.2867,0.2867,0.2867,0.2867
N1.HOG0026426,0.23603,0.23603,0.23603,0.23603
N1.HOG0026429,0.11867,0.11867,0.11867,0.11867
N1.HOG0026432,0.21201,0.21201,0.21201,0.21201
N1.HOG0026433,0.38735,0.38735,0.38735,0.38735
N1.HOG0026434,0.3114,0.3114,0.3114,0.3114
N1.HOG0026438,0.21481,0.21481,0.21481,0.21481
N1.HOG0026465,0.31734,0.31734,0.31734,0.31734
N1.HOG0026478,0.1825,0.1825,0.1825,0.1825
N1.HOG0026488,0.24651,0.24651,0.24651,0.24651
N1.HOG0026498,0.12876,0.12876,0.12876,0.12876
N1.HOG0026507,0.05519,0.05519,0.05519,0.05519
N1.HOG0026515,0.32081,0.32081,0.32081,0.32081
N1.HOG0026526,0.03192,0.03192,0.03192,0.03192
N1.HOG0026535,0.12785,0.12785,0.12785,0.12785
N1.HOG0026536,0.27037,0.27037,0.27037,0.27037
N1.HOG0026537,0.33342,0.33342,0.33342,0.33342
N1.HOG0026541,0.28607,0.28607,0.28607,0.28607
N1.HOG0026555,0.08204,0.08204,0.08204,0.08204
N1.HOG0026571,0.21252,0.21252,0.21252,0.21252
N1.HOG0026628,0.23747,0.23747,0.23747,0.23747
N1.HOG0026633,0.41833,0.41833,0.41833,0.41833
N1.HOG0026642,0.2658,0.2658,0.2658,0.2658
N1.HOG0026644,0.40588,0.40588,0.40588,0.40588
N1.HOG0026652,0.32169,0.32169,0.32169,0.32169
N1.HOG0026659,0.26907,0.26907,0.26907,0.26907
N1.HOG0026668,0.29682,0.29682,0.29682,0.29682
N1.HOG0026679,0.14846,0.14846,0.14846,0.14846
N1.HOG0026690,0.3235,0.3235,0.3235,0.3235
N1.HOG0026699,0.37336,0.37336,0.37336,0.37336
N1.HOG0026713,0.28906,0.28906,0.28906,0.28906
N1.HOG0026721,0.22866,0.22866,0.22866,0.22866
N1.HOG0026724,0.22318,0.22318,0.22318,0.22318
N1.HOG0026745,0.27871,0.27871,0.27871,0.27871
N1.HOG0026752,0.24687,0.24687,0.24687,0.24687
N1.HOG0026753,0.20923,0.20923,0.20923,0.20923
N1.HOG0026758,0.35157,0.35157,0.35157,0.35157
N1.HOG0026766,0.11928,0.11928,0.11928,0.11928
N1.HOG0026778,0.0626,0.0626,0.0626,0.0626
N1.HOG0026782,0.3465,0.3465,0.3465,0.3465
N1.HOG0026791,0.23858,0.23858,0.23858,0.23858
N1.HOG0026798,0.26667,0.26667,0.26667,0.26667
N1.HOG0026804,0.23366,0.23366,0.23366,0.23366
N1.HOG0026807,0.28013,0.28013,0.28013,0.28013
N1.HOG0026809,0.22964,0.22964,0.22964,0.22964
N1.HOG0026815,0.24632,0.24632,0.24632,0.24632
N1.HOG0026833,0.11594,0.11594,0.11594,0.11594
N1.HOG0026836,0.25909,0.25909,0.25909,0.25909
N1.HOG0026837,0.14476,0.14476,0.14476,0.14476
N1.HOG0026854,0.15181,0.15181,0.15181,0.15181
N1.HOG0026855,0.33956,0.33956,0.33956,0.33956
N1.HOG0026856,0.22787,0.22787,0.22787,0.22787
N1.HOG0026862,0.12033,0.12033,0.12033,0.12033
N1.HOG0026866,0.34207,0.34207,0.34207,0.34207
N1.HOG0026884,0.2881,0.2881,0.2881,0.2881
N1.HOG0026885,0.25995,0.25995,0.25995,0.25995
N1.HOG0026910,0.22205,0.22205,0.22205,0.22205
N1.HOG0026934,0.15143,0.15143,0.15143,0.15143
N1.HOG0026948,0.04757,0.04757,0.04757,0.04757
N1.HOG0026963,0.08712,0.08712,0.08712,0.08712
N1.HOG0027016,0.17696,0.17696,0.17696,0.17696
N1.HOG0027023,0.25044,0.25044,0.25044,0.25044
N1.HOG0027035,0.0539,0.0539,0.0539,0.0539
N1.HOG0027036,0.18965,0.18965,0.18965,0.18965
N1.HOG0027051,0.3839,0.3839,0.3839,0.3839
N1.HOG0027059,0.14989,0.14989,0.14989,0.14989
N1.HOG0027061,0.06499,0.06499,0.06499,0.06499
N1.HOG0027068,0.14304,0.14304,0.14304,0.14304
N1.HOG0027082,0.19363,0.19363,0.19363,0.19363
N1.HOG0027095,0.17724,0.17724,0.17724,0.17724
N1.HOG0027110,0.15827,0.15827,0.15827,0.15827
N1.HOG0027127,0.16181,0.16181,0.16181,0.16181
N1.HOG0027131,0.14174,0.14174,0.14174,0.14174
N1.HOG0027136,0.21588,0.21588,0.21588,0.21588
N1.HOG0027139,0.17641,0.17641,0.17641,0.17641
N1.HOG0027147,0.37886,0.37886,0.37886,0.37886
N1.HOG0027148,0.33966,0.33966,0.33966,0.33966
N1.HOG0027149,0.14009,0.14009,0.14009,0.14009
N1.HOG0027154,0.08799,0.08799,0.08799,0.08799
N1.HOG0027156,0.26056,0.26056,0.26056,0.26056
N1.HOG0027159,0.38403,0.38403,0.38403,0.38403
N1.HOG0027178,0.16942,0.16942,0.16942,0.16942
N1.HOG0027182,0.34257,0.34257,0.34257,0.34257
N1.HOG0027191,0.45122,0.45122,0.45122,0.45122
N1.HOG0027193,0.41365,0.41365,0.41365,0.41365
N1.HOG0027194,0.34978,0.34978,0.34978,0.34978
N1.HOG0027196,0.41957,0.41957,0.41957,0.41957
N1.HOG0027206,0.49496,0.49496,0.49496,0.49496
N1.HOG0027211,0.2632,0.2632,0.2632,0.2632
N1.HOG0027214,0.25959,0.25959,0.25959,0.25959
N1.HOG0027216,0.24066,0.24066,0.24066,0.24066
N1.HOG0027226,0.20664,0.20664,0.20664,0.20664
N1.HOG0027240,0.18971,0.18971,0.18971,0.18971
N1.HOG0027259,0.26725,0.26725,0.26725,0.26725
N1.HOG0027275,0.26905,0.26905,0.26905,0.26905
N1.HOG0027280,0.28587,0.28587,0.28587,0.28587
N1.HOG0027296,0.10587,0.10587,0.10587,0.10587
N1.HOG0027300,0.31123,0.31123,0.31123,0.31123
N1.HOG0027310,0.24901,0.24901,0.24901,0.24901
N1.HOG0027314,0.23651,0.23651,0.23651,0.23651
N1.HOG0027336,0.37759,0.37759,0.37759,0.37759
N1.HOG0027358,0.14693,0.14693,0.14693,0.14693
N1.HOG0027369,0.07406,0.07406,0.07406,0.07406
N1.HOG0027373,0.16038,0.16038,0.16038,0.16038
N1.HOG0027416,0.37135,0.37135,0.37135,0.37135
N1.HOG0027431,0.36375,0.36375,0.36375,0.36375
N1.HOG0027432,0.06221,0.06221,0.06221,0.06221
N1.HOG0027439,0.07669,0.07669,0.07669,0.07669
N1.HOG0027459,0.19648,0.19648,0.19648,0.19648
N1.HOG0027469,0.04652,0.04652,0.04652,0.04652
N1.HOG0027471,0.23898,0.23898,0.23898,0.23898
N1.HOG0027476,0.21895,0.21895,0.21895,0.21895
N1.HOG0027477,0.30057,0.30057,0.30057,0.30057
N1.HOG0027482,0.42583,0.42583,0.42583,0.42583
N1.HOG0027486,0.30735,0.30735,0.30735,0.30735
N1.HOG0027489,0.10076,0.10076,0.10076,0.10076
N1.HOG0027492,0.43481,0.43481,0.43481,0.43481
N1.HOG0027497,0.32639,0.32639,0.32639,0.32639
N1.HOG0027510,0.13655,0.13655,0.13655,0.13655
N1.HOG0027529,0.08345,0.08345,0.08345,0.08345
N1.HOG0027535,0.37965,0.37965,0.37965,0.37965
N1.HOG0027536,0.22145,0.22145,0.22145,0.22145
N1.HOG0027545,0.22448,0.22448,0.22448,0.22448
N1.HOG0027549,0.2061,0.2061,0.2061,0.2061
N1.HOG0027559,0.26725,0.26725,0.26725,0.26725
N1.HOG0027575,0.39376,0.39376,0.39376,0.39376
N1.HOG0027577,0.21492,0.21492,0.21492,0.21492
N1.HOG0027601,0.17465,0.17465,0.17465,0.17465
N1.HOG0027603,0.27606,0.27606,0.27606,0.27606
N1.HOG0027624,0.27792,0.27792,0.27792,0.27792
N1.HOG0027626,0.05938,0.05938,0.05938,0.05938
N1.HOG0027634,0.17167,0.17167,0.17167,0.17167
N1.HOG0027645,0.31924,0.31924,0.31924,0.31924
N1.HOG0027648,0.18687,0.18687,0.18687,0.18687
N1.HOG0027658,0.23434,0.23434,0.23434,0.23434
N1.HOG0027664,0.2365,0.2365,0.2365,0.2365
N1.HOG0027667,0.24532,0.24532,0.24532,0.24532
N1.HOG0027670,0.46376,0.46376,0.46376,0.46376
N1.HOG0027674,0.11866,0.11866,0.11866,0.11866
N1.HOG0027676,0.28611,0.28611,0.28611,0.28611
N1.HOG0027683,0.51491,0.51491,0.51491,0.51491
N1.HOG0027691,0.40402,0.40402,0.40402,0.40402
N1.HOG0027696,0.24218,0.24218,0.24218,0.24218
N1.HOG0027700,0.17741,0.17741,0.17741,0.17741
N1.HOG0027705,0.11082,0.11082,0.11082,0.11082
N1.HOG0027707,0.23315,0.23315,0.23315,0.23315
N1.HOG0027712,0.06455,0.06455,0.06455,0.06455
N1.HOG0027718,0.20578,0.20578,0.20578,0.20578
N1.HOG0027738,0.22594,0.22594,0.22594,0.22594
N1.HOG0027744,0.33668,0.33668,0.33668,0.33668
N1.HOG0027758,0.29294,0.29294,0.29294,0.29294
N1.HOG0027768,0.23766,0.23766,0.23766,0.23766
N1.HOG0027772,0.08759,0.08759,0.08759,0.08759
N1.HOG0027776,0.11248,0.11248,0.11248,0.11248
N1.HOG0027779,0.22703,0.22703,0.22703,0.22703
N1.HOG0027787,0.25673,0.25673,0.25673,0.25673
N1.HOG0027791,0.35928,0.35928,0.35928,0.35928
N1.HOG0027792,0.3474,0.3474,0.3474,0.3474
N1.HOG0027802,0.40929,0.40929,0.40929,0.40929
N1.HOG0027823,0.2058,0.2058,0.2058,0.2058
N1.HOG0027833,0.26117,0.26117,0.26117,0.26117
N1.HOG0027834,0.36839,0.36839,0.36839,0.36839
N1.HOG0027837,0.07489,0.07489,0.07489,0.07489
N1.HOG0027838,0.08093,0.08093,0.08093,0.08093
N1.HOG0027852,0.24691,0.24691,0.24691,0.24691
N1.HOG0027853,0.21713,0.21713,0.21713,0.21713
N1.HOG0027877,0.198,0.198,0.198,0.198
N1.HOG0027884,0.06174,0.06174,0.06174,0.06174
N1.HOG0027885,0.24171,0.24171,0.24171,0.24171
N1.HOG0027886,0.06981,0.06981,0.06981,0.06981
N1.HOG0027910,0.17502,0.17502,0.17502,0.17502
N1.HOG0027931,0.13494,0.13494,0.13494,0.13494
N1.HOG0027936,0.1122,0.1122,0.1122,0.1122
N1.HOG0027946,0.12879,0.12879,0.12879,0.12879
N1.HOG0027949,0.09124,0.09124,0.09124,0.09124
N1.HOG0027962,0.08723,0.08723,0.08723,0.08723
N1.HOG0027966,0.24963,0.24963,0.24963,0.24963
N1.HOG0027968,0.4401,0.4401,0.4401,0.4401
N1.HOG0027969,0.24767,0.24767,0.24767,0.24767
N1.HOG0027976,0.24482,0.24482,0.24482,0.24482
N1.HOG0027985,0.35345,0.35345,0.35345,0.35345
N1.HOG0027996,0.35918,0.35918,0.35918,0.35918
N1.HOG0028000,0.31336,0.31336,0.31336,0.31336
N1.HOG0028043,0.32104,0.32104,0.32104,0.32104
N1.HOG0028059,0.20861,0.20861,0.20861,0.20861
N1.HOG0028069,0.48898,0.48898,0.48898,0.48898
N1.HOG0028083,0.19082,0.19082,0.19082,0.19082
N1.HOG0028098,0.36321,0.36321,0.36321,0.36321
N1.HOG0028099,0.10816,0.10816,0.10816,0.10816
N1.HOG0028103,0.28914,0.28914,0.28914,0.28914
N1.HOG0028115,0.13686,0.13686,0.13686,0.13686
N1.HOG0028121,0.19303,0.19303,0.19303,0.19303
N1.HOG0028126,0.11191,0.11191,0.11191,0.11191
N1.HOG0028127,0.29952,0.29952,0.29952,0.29952
N1.HOG0028129,0.36447,0.36447,0.36447,0.36447
N1.HOG0028132,0.26981,0.26981,0.26981,0.26981
N1.HOG0028143,0.20488,0.20488,0.20488,0.20488
N1.HOG0028157,0.10167,0.10167,0.10167,0.10167
N1.HOG0028161,0.2655,0.2655,0.2655,0.2655
N1.HOG0028173,0.19923,0.19923,0.19923,0.19923
N1.HOG0028174,0.23392,0.23392,0.23392,0.23392
N1.HOG0028186,0.20111,0.20111,0.20111,0.20111
N1.HOG0028187,0.19751,0.19751,0.19751,0.19751
N1.HOG0028188,0.10859,0.10859,0.10859,0.10859
N1.HOG0028192,0.38937,0.38937,0.38937,0.38937
N1.HOG0028204,0.17769,0.17769,0.17769,0.17769
N1.HOG0028223,0.1918,0.1918,0.1918,0.1918
N1.HOG0028225,0.14219,0.14219,0.14219,0.14219
N1.HOG0028229,0.29272,0.29272,0.29272,0.29272
N1.HOG0028230,0.19771,0.19771,0.19771,0.19771
N1.HOG0028234,0.20808,0.20808,0.20808,0.20808
N1.HOG0028241,0.39402,0.39402,0.39402,0.39402
N1.HOG0028250,0.3582,0.3582,0.3582,0.3582
N1.HOG0028251,0.29323,0.29323,0.29323,0.29323
N1.HOG0028269,0.40948,0.40948,0.40948,0.40948
N1.HOG0028297,0.16982,0.16982,0.16982,0.16982
N1.HOG0028314,0.23084,0.23084,0.23084,0.23084
N1.HOG0028330,0.23716,0.23716,0.23716,0.23716
N1.HOG0028332,0.25897,0.25897,0.25897,0.25897
N1.HOG0028339,0.14927,0.14927,0.14927,0.14927
N1.HOG0028351,0.1053,0.1053,0.1053,0.1053
N1.HOG0028365,0.19113,0.19113,0.19113,0.19113
N1.HOG0028367,0.37291,0.37291,0.37291,0.37291
N1.HOG0028368,0.20512,0.20512,0.20512,0.20512
N1.HOG0028388,0.18617,0.18617,0.18617,0.18617
N1.HOG0028391,0.23616,0.23616,0.23616,0.23616
N1.HOG0028394,0.32039,0.32039,0.32039,0.32039
N1.HOG0028411,0.22647,0.22647,0.22647,0.22647
N1.HOG0028487,0.22893,0.22893,0.22893,0.22893
N1.HOG0028507,0.4316,0.4316,0.4316,0.4316
N1.HOG0028521,0.07751,0.07751,0.07751,0.07751
N1.HOG0028550,0.25043,0.25043,0.25043,0.25043
N1.HOG0028554,0.23452,0.23452,0.23452,0.23452
N1.HOG0028560,0.14683,0.14683,0.14683,0.14683
N1.HOG0028566,0.17746,0.17746,0.17746,0.17746
N1.HOG0028575,0.43428,0.43428,0.43428,0.43428
N1.HOG0028588,0.36759,0.36759,0.36759,0.36759
N1.HOG0028609,0.21376,0.21376,0.21376,0.21376
N1.HOG0028620,0.32971,0.32971,0.32971,0.32971
N1.HOG0028627,0.34631,0.34631,0.34631,0.34631
N1.HOG0028631,0.23413,0.23413,0.23413,0.23413
N1.HOG0028633,0.15655,0.15655,0.15655,0.15655
N1.HOG0028636,0.19567,0.19567,0.19567,0.19567
N1.HOG0028654,0.29846,0.29846,0.29846,0.29846
N1.HOG0028656,0.19541,0.19541,0.19541,0.19541
N1.HOG0028668,0.15297,0.15297,0.15297,0.15297
N1.HOG0028683,0.13593,0.13593,0.13593,0.13593
N1.HOG0028685,0.23136,0.23136,0.23136,0.23136
N1.HOG0028742,0.18629,0.18629,0.18629,0.18629
N1.HOG0028748,0.12548,0.12548,0.12548,0.12548
N1.HOG0028760,0.16565,0.16565,0.16565,0.16565
N1.HOG0028769,0.2508,0.2508,0.2508,0.2508
N1.HOG0028770,0.25247,0.25247,0.25247,0.25247
N1.HOG0028772,0.29022,0.29022,0.29022,0.29022
N1.HOG0028781,0.18178,0.18178,0.18178,0.18178
N1.HOG0028851,0.24978,0.24978,0.24978,0.24978
N1.HOG0028868,0.23981,0.23981,0.23981,0.23981
N1.HOG0028905,0.23785,0.23785,0.23785,0.23785
N1.HOG0028908,0.13371,0.13371,0.13371,0.13371
N1.HOG0028931,0.32648,0.32648,0.32648,0.32648
N1.HOG0028932,0.22039,0.22039,0.22039,0.22039
N1.HOG0028933,0.19444,0.19444,0.19444,0.19444
N1.HOG0028945,0.13446,0.13446,0.13446,0.13446
N1.HOG0028947,0.12414,0.12414,0.12414,0.12414
N1.HOG0028949,0.20422,0.20422,0.20422,0.20422
N1.HOG0028951,0.20071,0.20071,0.20071,0.20071
N1.HOG0028955,0.20533,0.20533,0.20533,0.20533
N1.HOG0028960,0.18083,0.18083,0.18083,0.18083
N1.HOG0028994,0.38907,0.38907,0.38907,0.38907
N1.HOG0029015,0.28274,0.28274,0.28274,0.28274
N1.HOG0029016,0.20166,0.20166,0.20166,0.20166
N1.HOG0029029,0.42064,0.42064,0.42064,0.42064
N1.HOG0029041,0.20655,0.20655,0.20655,0.20655
N1.HOG0029050,0.18262,0.18262,0.18262,0.18262
N1.HOG0029051,0.14568,0.14568,0.14568,0.14568
